broker,direction,district,fecha_publicacion,idCliente,lat,lon,portal,supTotal,supUtil,tipo,title,url,valor,vivienda
Abbo Limitada,General Mackenna 1555,santiago,13-12-2019,5282560,-33.4332275,-70.659729,Portal Inmobiliario,52,52,arriendo,General Mackenna 1555,https://www.portalinmobiliario.com/arriendo/departamento/santiago-metropolitana/5282560-general-mackenna-1555-uda,450000,departamento
Consultors,Carmen / Santa Isabel / Tranquilidad,santiago,16-12-2019,5287872,-33.4491386,-70.6414566,Portal Inmobiliario,62,57,arriendo,Carmen / Santa Isabel / Tranquilidad,https://www.portalinmobiliario.com/arriendo/departamento/santiago-metropolitana/5287872-carmen-santa-isabel-tranquilidad-uda,380000,departamento
Vía Urbana Propiedades,Dpto. Mariposa!!  San Isidro,santiago,13-12-2019,5285022,-33.4506187,-70.642868,Portal Inmobiliario,54,52,arriendo,Dpto. Mariposa!!  San Isidro,https://www.portalinmobiliario.com/arriendo/departamento/santiago-metropolitana/5285022-dpto-mariposa-san-isidro-uda,390000,departamento
Prosep Propiedades,"Esperanza 728, Barrio Yungay",santiago,13-12-2019,5283657,-33.4364777,-70.6759109,Portal Inmobiliario,52,52,arriendo,"Esperanza 728, Barrio Yungay",https://www.portalinmobiliario.com/arriendo/departamento/santiago-metropolitana/5283657-esperanza-728-barrio-yungay-uda,410000,departamento
Gethome,Angamos,santiago,12-12-2019,5279209,-33.4469757,-70.6386032,Portal Inmobiliario,48,48,arriendo,Angamos,https://www.portalinmobiliario.com/arriendo/departamento/santiago-metropolitana/5279209-angamos-uda,440000,departamento
Propiedades Valeriasoledad Y Asociados,Claudio Gay 2440,santiago,15-12-2019,5286588,-33.45401,-70.6586609,Portal Inmobiliario,51,47,arriendo,Claudio Gay 2440,https://www.portalinmobiliario.com/arriendo/departamento/santiago-metropolitana/5286588-claudio-gay-2440-uda,300000,departamento
Nexxos,Sargento Aldea 1180,santiago,09-12-2019,5270306,-33.4687996,-70.6492996,Portal Inmobiliario,39,37,arriendo,Sargento Aldea 1180,https://www.portalinmobiliario.com/arriendo/departamento/santiago-metropolitana/5270306-sargento-aldea-1180-uda,360000,departamento
Saenger Propiedades,Metro Santa Lucia / Metro Universidad De Chile,santiago,14-12-2019,5286511,-33.4486122,-70.6471024,Portal Inmobiliario,40,37,arriendo,Metro Santa Lucia / Metro Universidad De Chile,https://www.portalinmobiliario.com/arriendo/departamento/santiago-metropolitana/5286511-metro-santa-lucia-metro-universidad-de-chile-uda,300000,departamento
Isabel Vilches,"San Francisco & Eyzaguirre, Santiago - Departamento 1204a",santiago,09-12-2019,5270710,-33.4520569,-70.6470718,Portal Inmobiliario,43,43,arriendo,"San Francisco & Eyzaguirre, Santiago - Departamento 1204a",https://www.portalinmobiliario.com/arriendo/departamento/santiago-metropolitana/5270710-san-francisco-eyzaguirre-santiago-departamento-1204a-uda,350000,departamento
Saenger Propiedades,Metro Universidad Catolica /  Universidad Catolica De Chile,santiago,10-12-2019,5271617,-33.4428444,-70.6421509,Portal Inmobiliario,60,60,arriendo,Metro Universidad Catolica /  Universidad Catolica De Chile,https://www.portalinmobiliario.com/arriendo/departamento/santiago-metropolitana/5271617-metro-universidad-catolica-universidad-catolica-de-chile-uda,420000,departamento
Ruben Alvarez,Metro Toesca,santiago,09-12-2019,5270941,-33.4553871,-70.6563492,Portal Inmobiliario,41,34,arriendo,Metro Toesca,https://www.portalinmobiliario.com/arriendo/departamento/santiago-metropolitana/5270941-metro-toesca-uda,380000,departamento
C & H Propiedades,Padre Miguel De Olivares 1444,santiago,10-12-2019,5272290,-33.4492188,-70.6557693,Portal Inmobiliario,75,75,arriendo,Padre Miguel De Olivares 1444,https://www.portalinmobiliario.com/arriendo/departamento/santiago-metropolitana/5272290-padre-miguel-de-olivares-1444-uda,550000,departamento
Ugarte&didier Propiedades,Vicuña Mackenna 327 - Departamento 1107,santiago,12-12-2019,4236413,-33.445919,-70.6333694,Portal Inmobiliario,38,35,arriendo,Vicuña Mackenna 327 - Departamento 1107,https://www.portalinmobiliario.com/arriendo/departamento/santiago-metropolitana/4236413-vicuna-mackenna-327-departamento-1107-uda,330000,departamento
Maximizar Liderazgo Inmobiliario,Departamento Cerca Metro Santa Ana / Remodelado / Disponibilidad Inmediata,santiago,16-12-2019,5288109,-33.4382858,-70.6576004,Portal Inmobiliario,52,50,arriendo,Departamento Cerca Metro Santa Ana / Remodelado / Disponibilidad Inmediata,https://www.portalinmobiliario.com/arriendo/departamento/santiago-metropolitana/5288109-departamento-cerca-metro-santa-ana-remodelado-disponibilidad-inmediata-uda,400000,departamento
Etchepare & Asociados,Parque Forestal / Metro Baquedano,santiago,11-12-2019,5272473,-33.4371223,-70.6363144,Portal Inmobiliario,238,223,arriendo,Parque Forestal / Metro Baquedano,https://www.portalinmobiliario.com/arriendo/departamento/santiago-metropolitana/5272473-parque-forestal-metro-baquedano-uda,1200000,departamento
